edad,ciudad,peso,ingresos,genero,nivel_educacional,fumador,actividad_fisica,estado_civil,horas_suenho,enfermedades_cronicas,consumo_alcohol,uso_transporte
47.5,Antofagasta,76.9,,Masculino,Técnica,Sí,Alta,Separado/a,5.4,,Nunca,Público
37.9,Puerto Montt,48.6,,Masculino,Universitaria,No,Media,Soltero/a,7.3,Sí,Nunca,Bicicleta/Pie
49.7,Antofagasta,65.7,287000.0,Masculino,Media,,Alta,Casado/a,6.9,No,Ocasional,Bicicleta/Pie
62.8,Concepción,73.6,985000.0,Femenino,Técnica,Sí,Alta,Viudo/a,8.3,No,Ocasional,Privado
36.5,Concepción,72.2,927000.0,Masculino,Universitaria,Sí,Media,Soltero/a,7.7,,Nunca,Privado
36.5,Valdivia,102.3,786000.0,Femenino,,No,Baja,Viudo/a,5.9,No,Nunca,Público
63.7,Concepción,74.2,451000.0,Masculino,Básica,Sí,Baja,Soltero/a,7.4,Sí,Frecuente,Bicicleta/Pie
51.5,Antofagasta,58.0,,Femenino,Universitaria,,Media,Separado/a,7.1,No,Frecuente,Bicicleta/Pie
33.0,Temuco,68.9,734000.0,Masculino,Media,No,Media,Soltero/a,4.5,No,Nunca,Público
48.1,La Serena,48.7,401000.0,Femenino,Media,Sí,,Casado/a,6.4,Sí,,Privado
33.0,La Serena,69.0,,Masculino,Universitaria,No,Baja,Casado/a,7.1,Sí,Frecuente,Bicicleta/Pie
,Valdivia,60.0,963000.0,Masculino,Técnica,No,Baja,Viudo/a,6.8,No,Ocasional,Público
,Valparaíso,81.0,1157000.0,Masculino,Media,No,Media,Separado/a,7.5,No,Ocasional,Privado
11.3,La Serena,63.4,695000.0,Masculino,Media,No,Alta,Separado/a,7.1,No,Ocasional,Público
14.1,La Serena,,989000.0,Femenino,Básica,No,,Viudo/a,7.5,No,Frecuente,Público
,Concepción,62.4,321000.0,Femenino,Técnica,No,Baja,Casado/a,7.3,Sí,Nunca,Bicicleta/Pie
24.8,Concepción,90.9,965000.0,Masculino,Universitaria,Sí,,Casado/a,7.0,No,Ocasional,Privado
44.7,Antofagasta,66.1,599000.0,Femenino,Técnica,No,Media,Viudo/a,7.2,No,Frecuente,Bicicleta/Pie
26.4,Valdivia,92.0,877000.0,Masculino,Básica,Sí,Baja,Separado/a,6.5,No,Nunca,Bicicleta/Pie
18.8,Valparaíso,,,,Básica,,Media,Viudo/a,,No,Ocasional,Privado
62.0,Valdivia,75.8,1130000.0,Femenino,Técnica,No,Alta,Viudo/a,7.1,No,Frecuente,Privado
36.6,Santiago,74.4,581000.0,Femenino,Básica,Sí,Baja,Soltero/a,,No,Ocasional,Privado
41.0,Puerto Montt,74.7,957000.0,Femenino,Básica,Sí,,Viudo/a,6.4,Sí,Frecuente,Bicicleta/Pie
18.6,Valparaíso,,730000.0,Masculino,Básica,Sí,Alta,Casado/a,5.9,No,Ocasional,Privado
31.8,Valparaíso,66.7,760000.0,Masculino,Técnica,No,Alta,Viudo/a,5.8,No,Frecuente,Privado
41.7,Temuco,80.1,754000.0,Femenino,Básica,Sí,Media,Separado/a,6.5,No,Nunca,Privado
22.7,Valdivia,69.4,589000.0,Masculino,Universitaria,Sí,Alta,Separado/a,5.0,Sí,Ocasional,Público
45.6,Antofagasta,53.1,796000.0,Femenino,Universitaria,No,Baja,Casado/a,6.5,No,Ocasional,Privado
31.0,Temuco,,784000.0,Femenino,Media,,Alta,Separado/a,7.3,No,Frecuente,Bicicleta/Pie
35.6,Valparaíso,90.4,860000.0,Femenino,Universitaria,Sí,Media,Viudo/a,8.6,No,,Público
31.0,Valparaíso,85.0,821000.0,Femenino,Media,Sí,Baja,Casado/a,10.3,No,Nunca,Bicicleta/Pie
67.8,Valparaíso,69.3,999000.0,,Técnica,No,Alta,,4.3,No,Ocasional,Público
39.8,La Serena,81.4,1031000.0,Femenino,Básica,Sí,Alta,Viudo/a,5.6,No,Frecuente,Privado
24.1,Valdivia,65.6,537000.0,,Universitaria,Sí,,Separado/a,6.5,No,,Público
52.3,Puerto Montt,49.6,1017000.0,Masculino,Media,No,Baja,Soltero/a,7.2,Sí,Frecuente,Bicicleta/Pie
21.7,Puerto Montt,58.9,503000.0,Femenino,Técnica,No,Alta,Separado/a,7.5,Sí,Nunca,Público
43.1,Temuco,88.8,,Femenino,Media,No,Baja,Casado/a,6.1,Sí,Ocasional,Privado
10.6,Valparaíso,66.7,955000.0,Femenino,Básica,Sí,Media,Viudo/a,3.2,Sí,Frecuente,Privado
20.1,Puerto Montt,67.1,322000.0,Masculino,Universitaria,No,Alta,Viudo/a,8.6,Sí,Nunca,Bicicleta/Pie
43.0,Concepción,,823000.0,Femenino,Técnica,No,Media,,7.8,No,,Público
51.1,Valdivia,92.8,683000.0,,Media,No,Alta,Soltero/a,8.1,No,,Bicicleta/Pie
42.6,Puerto Montt,89.5,610000.0,Femenino,Técnica,Sí,Media,Viudo/a,6.7,No,,Bicicleta/Pie
38.3,Antofagasta,96.6,1138000.0,Masculino,Media,No,Media,Casado/a,7.5,No,Ocasional,Bicicleta/Pie
35.5,Valdivia,68.1,637000.0,Femenino,,No,Baja,Separado/a,,No,Nunca,Privado
17.8,Antofagasta,73.5,598000.0,Masculino,Básica,No,,Soltero/a,5.4,No,Frecuente,Público
29.2,Puerto Montt,51.8,819000.0,,Básica,No,Baja,Casado/a,8.8,Sí,Nunca,Privado
33.1,Concepción,87.7,971000.0,Femenino,Media,No,Baja,Separado/a,7.0,No,Nunca,Privado
55.9,Antofagasta,56.0,765000.0,Masculino,Universitaria,Sí,Alta,Viudo/a,9.8,No,Ocasional,Privado
45.2,La Serena,72.6,1092000.0,Masculino,Técnica,Sí,Media,Viudo/a,5.5,No,Ocasional,Público
13.6,Puerto Montt,56.8,933000.0,Masculino,Técnica,,Alta,Soltero/a,10.8,No,Nunca,Privado
,La Serena,62.9,255000.0,Femenino,Básica,No,Alta,Separado/a,11.0,No,Ocasional,Privado
34.2,Puerto Montt,60.0,668000.0,Masculino,Universitaria,No,Alta,Casado/a,6.0,No,Nunca,Privado
29.8,Santiago,62.7,660000.0,Femenino,Media,Sí,Baja,Viudo/a,6.3,No,Ocasional,Público
49.2,Santiago,63.5,920000.0,Femenino,Básica,Sí,Alta,Casado/a,8.9,,Ocasional,Público
55.5,Santiago,63.4,144000.0,Femenino,Media,Sí,Alta,Casado/a,6.2,,Frecuente,Bicicleta/Pie
54.0,Antofagasta,80.0,1437000.0,Masculino,Media,Sí,,Casado/a,6.6,No,Frecuente,Privado
27.4,La Serena,56.7,933000.0,Femenino,Básica,,Media,Soltero/a,5.9,No,Ocasional,Privado
35.4,La Serena,72.6,837000.0,Masculino,Universitaria,No,Media,Casado/a,5.9,No,Nunca,Público
45.0,La Serena,84.6,1095000.0,Masculino,Técnica,No,Media,Soltero/a,7.2,No,Nunca,Público
54.6,Concepción,63.8,1386000.0,Masculino,Básica,No,Media,Soltero/a,6.6,Sí,Nunca,Privado
32.8,La Serena,61.4,1018000.0,Masculino,,Sí,Baja,Separado/a,3.9,No,Ocasional,Bicicleta/Pie
37.2,Concepción,67.2,1037000.0,,Media,No,,Viudo/a,9.2,No,Ocasional,Bicicleta/Pie
23.4,Santiago,84.2,833000.0,Femenino,Básica,Sí,Alta,Casado/a,9.4,No,Nunca,Privado
22.1,Santiago,72.3,765000.0,Masculino,Técnica,Sí,Baja,Separado/a,,No,,Bicicleta/Pie
52.2,Antofagasta,63.6,681000.0,Femenino,Técnica,No,,Separado/a,7.2,No,Frecuente,Bicicleta/Pie
60.3,Puerto Montt,75.8,593000.0,Femenino,Media,Sí,Alta,Separado/a,,No,Nunca,Privado
38.9,Santiago,56.8,,Femenino,Básica,Sí,Alta,Separado/a,6.3,No,Ocasional,Bicicleta/Pie
55.1,Puerto Montt,78.2,462000.0,Masculino,Técnica,No,,Separado/a,,No,Ocasional,Público
45.4,Puerto Montt,74.9,781000.0,Femenino,,Sí,,Casado/a,7.9,Sí,Nunca,Privado
30.3,Valdivia,66.3,379000.0,Masculino,Técnica,Sí,Media,Separado/a,7.7,No,Frecuente,Público
45.4,Antofagasta,59.9,848000.0,Femenino,Media,No,Baja,Viudo/a,7.7,Sí,Nunca,Privado
,Valparaíso,59.4,,Masculino,Media,Sí,Alta,Soltero/a,8.6,No,Nunca,Público
39.5,Valparaíso,,837000.0,Masculino,Básica,Sí,Media,Soltero/a,8.4,No,Nunca,
